CLIENTE;NRO. VA21;POS. VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;TIEMPO DE APROBACION SOLPED;COLOCACION OC;TIEMPOS DE APROBACION OC;ENTREGA VA01/OC;PRIMERA RECEPCIÓN - ENTREGA;PRIMERA RECEPCIÓN - TIEMPOS RECEPCIÓN;TIEMPO PICKING;EMBALAJE;CAMION;TIEMPOS RECEPCION CLIENTE;ENTREGA AL CLIENTE;DIAS DE DEMORA;TIEMPO EMISION / ENTREGA;NRO. VA01;POS. VA01;FECHA EMISION VA01;RESPONDIDO;NO RESPONDIDO;RESPONDIDO AT;RESPONDIDO FT;dDIAS DEMORA;dDIAS LIBERACION SOLPED;dDIAS RESPUESTA;dDIAS PROCESAMIENTO ;iLIBERACION SOLPED;iRESPUESTA;iPROCESAMIENTO;CLASIFICACION
00377-YPF 3° loop;4000006382;10;ZPIN;PI CONTENEDOR;;0;10;4;13/1/2026;RTELLO;1033267;SERV ALQ CONT x 12 MTS COMEDOR S/DETALLE;2;Servicios;CUMPLIDO;MR01;1;2/1/2026;9/1/2026;enero;10139450;10;1;2/1/2026;2/1/2026;C04;;0;;0;;;;;;;;0;2;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;4;0;11;;;11;;COMPRAS EQUIPOS
00377-YPF 3° loop;4000006383;10;ZPIN;MAT Y ACC PIPING;;0;10;4;15/1/2026;RTELLO;1049048;"CAÑO REVES. 16"" BW SCH 8,74MM API 5L";20;Materiales usuales;CUMPLIDO;MR01;1;2/1/2026;12/1/2026;enero;10139482;10;1;2/1/2026;2/1/2026;C09;;0;;0;;;;;;;;0;20;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;3;0;13;;;13;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006389;10;ZPIN;03-Transporte de Pas;;0;10;4;29/1/2026;DSUAREZ;1022295;COMBI 19 PAX;1;Servicios;CUMPLIDO;MR01;1;7/1/2026;14/1/2026;enero;10139779;10;1;7/1/2026;7/1/2026;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;15;0;22;;;22;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006391;10;ZPIN;PI MAT CANTERA;;0;10;4;20/1/2026;RTELLO;1012776;SUELO CALCAREO SELEC CANTERA T A-1 xM3;3000;Materiales genericos;CUMPLIDO;MR01;1;7/1/2026;16/1/2026;enero;10139803;10;1;7/1/2026;7/1/2026;C14;;0;;0;;;;;;;;0;3000;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;4;0;13;;;13;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006393;10;ZPIN;PI PROVISION COMBUST;;0;10;4;13/1/2026;RTELLO;1013571;GASOIL DIESEL 500;10000;Materiales Stock S/Devol;CUMPLIDO;MR01;1;8/1/2026;16/1/2026;enero;10139835;10;1;8/1/2026;8/1/2026;C21;;0;;0;;;;;;;;0;10000;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;5;;;5;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006394;10;ZPIN;PI SERV HIDRO Y SEMI;;0;10;4;23/1/2026;RTELLO;1033854;SERVICIO ALQ HIDROGRUA 24TN C/SEMI;8;Servicios;CUMPLIDO;MR01;1;8/1/2026;16/1/2026;enero;10139839;70;1;8/1/2026;8/1/2026;C26;;0;;0;;;;;;;;0;8;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;7;0;15;;;15;;COMPRAS ABASTECIMIENTO
00377-YPF 3° loop;4000006395;10;ZPIN;PI SUBC HOT TAP;;0;10;4;29/1/2026;RTELLO;1012782;"HOT TAP CAÑERÍA 20"" API 5L GR. X70 ESPES";2;Materiales genericos;CUMPLIDO;MR01;1;8/1/2026;23/1/2026;enero;10139842;10;1;8/1/2026;8/1/2026;C26;;0;;0;;;;;;;;0;2;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;6;0;21;;;21;;COMPRAS ABASTECIMIENTO
00341 Mov. Suelos San Luis;4000006400;10;ZPIN;COTIZACIÓN  DESINFEC;;0;10;4;27/2/2026;MALCARAZ;1026355;FUMIGACION;12;Servicios;CUMPLIDO;MR01;1;9/1/2026;26/2/2026;febrero;10139957;10;1;9/1/2026;9/1/2026;C25;;0;;0;;;;;;;;0;12;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;1;0;49;;;49;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006403;10;ZPIN;04-Certificacion de;;0;10;4;12/1/2026;DSUAREZ;1013021;CERTIFICACION EQUIPO;1;Servicios;CUMPLIDO;MR01;1;10/1/2026;17/1/2026;enero;10140034;10;1;10/1/2026;10/1/2026;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;2;;;2;;COMPRAS ABASTECIMIENTO
00341 Mov. Suelos San Luis;4000006404;10;ZPIN;COTIZACIÓN  SERV DE;;0;10;3;18/2/2026;MALCARAZ;1025992;ALQUILER DISPENSER FRIO CALOR x MES;120;Servicios;CUMPLIDO;MR01;1;10/1/2026;24/1/2026;enero;10140063;10;1;10/1/2026;10/1/2026;C25;;0;;0;;;;;;;;0;120;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;25;0;39;;;39;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006407;10;ZPIN;HDPE Liso PN10 Agust;;0;10;4;19/1/2026;DSUAREZ;1012790;"Caño HDPE Liso PN10 Ø 16""";360;Materiales genericos;CUMPLIDO;MR01;1;12/1/2026;24/1/2026;enero;10140100;10;1;12/1/2026;12/1/2026;C09;;0;;0;;;;;;;;0;360;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;7;;;7;;COMPRAS ABASTECIMIENTO
0376 VELADERO FASE 8B /SAN JUAN;4000006410;10;ZPIN;PI. EQUIPOS MENORES-;;0;10;4;18/2/2026;CBAREA;1018042;Balanza Marca Ohaus NAVIGATOR HR;1;Equipos Menores;CUMPLIDO;MR01;2;13/1/2026;23/1/2026;enero;10140204;10;1;13/1/2026;13/1/2026;C37;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;26;0;36;;;36;;EQUIPOS MENORES
00374 TERMINAL PUNTA COLORADA;4000006420;10;ZPIN;Contenedores para ob;;0;10;4;26/1/2026;DSUAREZ;1033267;ALQUILER CONTENEDOR COMEDOR 12MTS;1;Servicios;CUMPLIDO;MR01;1;14/1/2026;22/1/2026;enero;10140335;10;1;14/1/2026;14/1/2026;C04;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;4;0;12;;;12;;COMPRAS EQUIPOS
00374 TERMINAL PUNTA COLORADA;4000006422;10;ZPIN;PM - PAT Obra Comple;;24;10;4;23/1/2026;DSUAREZ;1010813;CABLE DE COBRE DESNUDO 1X185MM2;2000;Materiales usuales;CUMPLIDO;MR01;1;14/1/2026;22/1/2026;enero;10140401;10;1;14/1/2026;14/1/2026;C11;;0;;0;;;;;;;;0;2000;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;;1;1;0;9;;;9;;COMPRAS ABASTECIMIENTO
00374 TERMINAL PUNTA COLORADA;4000006424;10;ZPIN;04- SERVICIO REMIS P;;0;10;4;16/1/2026;MREYNA;1022296;SERVICIO REMIS POR KM;1;Servicios;CUMPLIDO;MR01;1;15/1/2026;15/2/2026;febrero;10140431;10;1;15/1/2026;15/1/2026;C25;;0;;0;;;;;;;;0;1;0;0;;;;0;0;;;;;0;0;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1;;1;;;0;1;;;1;;COMPRAS ABASTECIMIENTO
